length	merge	mergesorted	quick	quick sorted	heap	heapsorted
100	222	191		61	109		97	98
200	475	296		126	427		222	207
300	976	891		200	1050		357	328
400	1144	1317		282	1829		495	555
500	910	761		359	2524		627	596
600	964	801		470	3639		796	715
700	2472	1679		564	5261		937	856
800	2927	1285		653	6617		1172	999
900	1596	1182		710	8387		1247	1125
1000	1682	3830		787	11026		1398	1279
1100	2008	2190		884	12720		1568	1407
1200	4515	4399		985	16479		1725	1559
1300	2356	2067		1072	17871		1913	1694
1400	4199	1976		1188	20889		2098	1838
1500	2524	5430		1270	22518		2487	1995
1600	4225	4684		1355	28209		2406	2136
1700	4873	2438		1416	31173		2572	2334
1800	5777	4981		1643	35987		2842	2449
1900	6405	6471		1633	41118		2912	2709
2000	3518	3962		1735	45977		3089	2709
2100	3748	3875		1795	49179		3296	2885
2200	3965	2998		1929	54485		3485	3075
2300	4272	3422		1997	58583		3607	3239
2400	12536	9498		2147	66723		3792	3546
2500	5296	8284		2225	74121		4140	3407
2600	8001	8797		2244	82486		4459	3603
2700	11245	8298		2382	86333		4229	3725
2800	8975	3895		2458	85581		4390	3891
2900	10683	8426		2642	93341		4769	4738
3000	9021	7371		2707	101126		5025	7874
3100	8915	4306		2842	113187		5373	4573
3200	13765	8754		2829	122601		5133	4668
3300	6162	4646		2895	127047		5270	4654
3400	9007	7207		3032	134014		5747	4820
3500	6183	4698		3136	141027		5643	5280
3600	6681	4583		3201	148092		5836	5085
3700	7354	4950		4348	155799		7251	7209
3800	7314	4997		3524	165978		6660	5389
3900	7650	5071		3502	172965		6683	5562
4000	8007	5496		4199	185002		6646	6079
4100	7572	5323		3767	192241		6969	5845
4200	8857	5344		3852	203484		6923	6010
4300	8341	5690		3958	211995		7275	6205
4400	12122	5910		4137	223401		8189	6324
4500	11612	6066		4202	231010		7562	6499
4600	10155	6114		4319	256811		9333	6818
4700	9617	6816		4578	266078		8035	7155
4800	9986	6387		4836	270064		8505	6958
4900	9844	7066		4535	280450		8219	7337
5000	9523	6863		4941	289663		8677	7620
5100	9835	7596		4865	301477		8999	7792
5200	10007	7880		4891	313656		8998	7807
5300	11399	7629		5078	326202		9167	7940
5400	10340	9119		5399	345087		9451	8196
5500	17388	8154		8972	354813		13577	8272
5600	12407	8424		5457	362933		10334	8735
5700	12549	7691		5391	378643		9769	9133
5800	12524	7876		7317	396328		11018	8717
5900	12553	8278		6012	409658		10127	8943
6000	12466	8468		7164	419235		11103	9178
6100	11301	8383		6091	434005		10813	9035
6200	12106	8721		5890	444724		11894	9205
6300	12683	8496		6149	460094		11382	9434
6400	12701	8858		6114	479300		12594	9933
6500	13055	8980		6235	492493		11672	9721
6600	13110	9421		6515	509483		11757	9858
6700	14925	9421		6856	522203		11877	10011
6800	13629	9940		6606	535525		11968	10208
6900	13298	9357		6902	557680		12338	10336
7000	13480	11095		6692	569831		12229	10497
7100	13604	9524		6764	584662		12468	10757
7200	17131	10188		10042	602094		13090	10825
7300	14324	9757		7727	617535		13274	10970
7400	13834	9990		7557	638394		13453	11118
7500	15102	10176		7318	653419		13218	11305
7600	14932	10594		7637	672708		13513	11786
7700	14628	10396		7658	686619		13959	11624
7800	15480	10708		7704	702394		14094	11784
7900	14574	10774		8026	719827		14138	11931
8000	18695	10787		8194	742953		14581	12102
8100	17652	12113		8257	753827		14524	12263
8200	16942	11514		8324	770416		14989	12411
8300	16566	11771		8120	799546		14839	12566
8400	15624	11985		8303	803923		15356	12767
8500	20574	11658		8589	818602		15653	12947
8600	16079	11840		8656	837963		15756	13109
8700	16752	12347		8800	851183		16902	13287
8800	17678	11693		8845	868752		15812	13426
8900	17650	12267		9180	884421		16786	13590
9000	20126	12222		9043	901444		16619	14142
9100	18644	12112		9802	928179		17145	13920
9200	17889	12455		9552	934607		17101	14115
9300	18035	13167		9345	954137		16807	14270
9400	17985	13196		9778	983743		17051	14566
9500	18965	13710		9906	983193		17702	14656
9600	19084	14026		9481	1014284		17960	14466
9700	18994	13233		9794	1029512		19675	14612
9800	20148	13581		10136	1054185		20079	15130
9900	19536	13732		9754	1070541		19522	15302
10000	19643	14026		9921	1070555		20310	15503
